"","histone","state","peak_count","total_peak","total_ch","peak"
"45","H3K36me3-human_GM12878_ENCFF001SUJ","3_Enh2_iHMM_GM12878",23574,33710,94941407,"H3K36me3"
"46","H3K36me3-human_GM12878_ENCFF001SUJ","4_Egn1_iHMM_GM12878",63248,33710,55600976,"H3K36me3"
"47","H3K36me3-human_GM12878_ENCFF001SUJ","5_Egn2_iHMM_GM12878",51650,33710,40028756,"H3K36me3"
"48","H3K36me3-human_GM12878_ENCFF001SUJ","6_Egn3_iHMM_GM12878",7416,33710,180155677,"H3K36me3"
"49","H3K36me3-human_GM12878_ENCFF001SUJ","7_Egn4_iHMM_GM12878",110488,33710,97075950,"H3K36me3"
"50","H3K36me3-human_GM12878_ENCFF001SUJ","8_Egn5_iHMM_GM12878",20128,33710,30156712,"H3K36me3"
"51","H3K36me3-human_GM12878_ENCFF001SUJ","9_Egn6_iHMM_GM12878",182106,33710,150264385,"H3K36me3"
"52","H3K36me3-human_GM12878_ENCFF001WYF","1_Pro_iHMM_GM12878",11302,324901,46202532,"H3K36me3"
"53","H3K36me3-human_GM12878_ENCFF001WYF","10_Rep1_iHMM_GM12878",3089,324901,23265451,"H3K36me3"
"54","H3K36me3-human_GM12878_ENCFF001WYF","11_Rep2_iHMM_GM12878",16716,324901,357828059,"H3K36me3"
"55","H3K36me3-human_GM12878_ENCFF001WYF","12_Het1_iHMM_GM12878",16988,324901,60241709,"H3K36me3"
"56","H3K36me3-human_GM12878_ENCFF001WYF","13_Het2_iHMM_GM12878",7540,324901,185278244,"H3K36me3"
"57","H3K36me3-human_GM12878_ENCFF001WYF","14_Low1_iHMM_GM12878",7706,324901,354762932,"H3K36me3"
"58","H3K36me3-human_GM12878_ENCFF001WYF","15_Low2_iHMM_GM12878",13737,324901,570455209,"H3K36me3"
"59","H3K36me3-human_GM12878_ENCFF001WYF","16_Low3_iHMM_GM12878",622,324901,48345445,"H3K36me3"
"60","H3K36me3-human_GM12878_ENCFF001WYF","17_Unmap_iHMM_GM12878",58555,324901,727072978,"H3K36me3"
"61","H3K36me3-human_GM12878_ENCFF001WYF","2_Enh1_iHMM_GM12878",18160,324901,69442161,"H3K36me3"
"62","H3K36me3-human_GM12878_ENCFF001WYF","3_Enh2_iHMM_GM12878",10871,324901,94941407,"H3K36me3"
"63","H3K36me3-human_GM12878_ENCFF001WYF","4_Egn1_iHMM_GM12878",40557,324901,55600976,"H3K36me3"
"64","H3K36me3-human_GM12878_ENCFF001WYF","5_Egn2_iHMM_GM12878",17386,324901,40028756,"H3K36me3"
"65","H3K36me3-human_GM12878_ENCFF001WYF","6_Egn3_iHMM_GM12878",17614,324901,180155677,"H3K36me3"
"66","H3K36me3-human_GM12878_ENCFF001WYF","7_Egn4_iHMM_GM12878",91192,324901,97075950,"H3K36me3"
"67","H3K36me3-human_GM12878_ENCFF001WYF","8_Egn5_iHMM_GM12878",14148,324901,30156712,"H3K36me3"
"68","H3K36me3-human_GM12878_ENCFF001WYF","9_Egn6_iHMM_GM12878",85673,324901,150264385,"H3K36me3"
"69","H3K36me3-human_GM12878_ENCFF001WYH","1_Pro_iHMM_GM12878",11251,338813,46202532,"H3K36me3"
"70","H3K36me3-human_GM12878_ENCFF001WYH","10_Rep1_iHMM_GM12878",3756,338813,23265451,"H3K36me3"
"71","H3K36me3-human_GM12878_ENCFF001WYH","11_Rep2_iHMM_GM12878",19811,338813,357828059,"H3K36me3"
"72","H3K36me3-human_GM12878_ENCFF001WYH","12_Het1_iHMM_GM12878",17348,338813,60241709,"H3K36me3"
"73","H3K36me3-human_GM12878_ENCFF001WYH","13_Het2_iHMM_GM12878",9035,338813,185278244,"H3K36me3"
"74","H3K36me3-human_GM12878_ENCFF001WYH","14_Low1_iHMM_GM12878",9574,338813,354762932,"H3K36me3"
"75","H3K36me3-human_GM12878_ENCFF001WYH","15_Low2_iHMM_GM12878",15396,338813,570455209,"H3K36me3"
"76","H3K36me3-human_GM12878_ENCFF001WYH","16_Low3_iHMM_GM12878",669,338813,48345445,"H3K36me3"
"77","H3K36me3-human_GM12878_ENCFF001WYH","17_Unmap_iHMM_GM12878",59095,338813,727072978,"H3K36me3"
"78","H3K36me3-human_GM12878_ENCFF001WYH","2_Enh1_iHMM_GM12878",18407,338813,69442161,"H3K36me3"
"79","H3K36me3-human_GM12878_ENCFF001WYH","3_Enh2_iHMM_GM12878",11618,338813,94941407,"H3K36me3"
"80","H3K36me3-human_GM12878_ENCFF001WYH","4_Egn1_iHMM_GM12878",39957,338813,55600976,"H3K36me3"
"81","H3K36me3-human_GM12878_ENCFF001WYH","5_Egn2_iHMM_GM12878",17193,338813,40028756,"H3K36me3"
