"","ind","set","c","bp","coverage"
"533",12,"H3K9me3-human_lung_ENCFF813YSM",68413209,30399782,2.25045064467897
"534",12,"H4K20me1-human_GM12878_ENCFF001SUQ",1344640571,722115670,1.86208474190845
"535",12,"H4K20me1-human_lung_ENCFF272PZA",92948041,45394239,2.04757350376553
"536",12,"10_Rep1_iHMM_GM12878",50751282,23265451,2.18140116862553
"537",12,"11_Rep2_iHMM_GM12878",837355897,357828059,2.34010686400644
"538",12,"12_Het1_iHMM_GM12878",141547331,60241709,2.34965663075727
"539",12,"13_Het2_iHMM_GM12878",421701296,185278244,2.27604324661022
"540",12,"14_Low1_iHMM_GM12878",803145905,354762932,2.26389465345833
"541",12,"15_Low2_iHMM_GM12878",1246668497,570455209,2.1853924328001
"542",12,"16_Low3_iHMM_GM12878",99633241,48345445,2.06086097666492
"543",12,"17_Unmap_iHMM_GM12878",897436369,727072978,1.23431401820025
"544",12,"1_Pro_iHMM_GM12878",70897250,46202532,1.53448841288612
"545",12,"2_Enh1_iHMM_GM12878",149314520,69442161,2.15019979000941
"546",12,"3_Enh2_iHMM_GM12878",212478762,94941407,2.2379988744005
"547",12,"4_Egn1_iHMM_GM12878",113131612,55600976,2.03470550588896
"548",12,"5_Egn2_iHMM_GM12878",83662890,40028756,2.09006969889347
"549",12,"6_Egn3_iHMM_GM12878",403593068,180155677,2.24024618441527
"550",12,"7_Egn4_iHMM_GM12878",201291424,97075950,2.07354575463851
"551",12,"8_Egn5_iHMM_GM12878",69975012,30156712,2.32037935700682
"552",12,"9_Egn6_iHMM_GM12878",308177332,150264385,2.05090069746068
"553",13,"All_reads",4750248570,3e+09,1.58341619
"554",13,"H2AFZ-human_GM12878_ENCFF001SUD",480866755,288036491,1.66946470334552
"555",13,"H2AFZ-human_lung_ENCFF888SIA",104541087,48896494,2.1380078293548
"556",13,"H3F3A-human_lung_ENCFF926ZHI",204635641,103936536,1.9688518482086
"557",13,"H3K27ac-human_GM12878_ENCFF001SUG",253720451,166141897,1.52713105833864
"558",13,"H3K27ac-human_lung_ENCFF371BKL",166323381,89536868,1.85759659361773
"559",13,"H3K27me3-human_GM12878_ENCFF001SUI",1876262568,1022773586,1.83448477129522
"560",13,"H3K27me3-human_lung_ENCFF468ZHH",285012392,146540119,1.94494445579098
"561",13,"H3K36me3-human_GM12878_ENCFF001SUJ",902684087,580278190,1.55560574661612
"562",13,"H3K36me3-human_GM12878_ENCFF001WYF",279234913,96031201,2.90775196074034
"563",13,"H3K36me3-human_GM12878_ENCFF001WYH",280086296,94013533,2.97921253528468
"564",13,"H3K36me3-human_lung_ENCFF457NNG",116246302,59362744,1.9582366677659
"565",13,"H3K4me1-human_GM12878_ENCFF001SUE",609585250,368077180,1.65613431943811
"566",13,"H3K4me1-human_lung_ENCFF209XDL",243016212,128997637,1.88388111326411
"567",13,"H3K4me2-human_GM12878_ENCFF001SUL",326231592,213945450,1.52483538210324
"568",13,"H3K4me2-human_lung_ENCFF270NMV",206812662,112466077,1.83888926791676
"569",13,"H3K4me3-human_GM12878_ENCFF001SUF",394156732,245538981,1.60527151491274
"570",13,"H3K4me3-human_GM12878_ENCFF001SUM",289415218,185179234,1.56289240293542
"571",13,"H3K4me3-human_lung_ENCFF347EMU",90163336,50370689,1.78999608284096
"572",13,"H3K4me3-human_lung_ENCFF361TGO",75159222,41775242,1.79913313249029
"573",13,"H3K79me2-human_GM12878_ENCFF001SUN",448640284,288163197,1.55689653873461
"574",13,"H3K79me2-human_lung_ENCFF292NSP",193588346,107574476,1.79957507764202
"575",13,"H3K9ac-human_GM12878_ENCFF001SUO",201194712,133249659,1.5099078940232
"576",13,"H3K9ac-human_lung_ENCFF555OKO",94573542,51487077,1.83684037841185
"577",13,"H3K9me2-human_lung_ENCFF447MUW",18561421,7775978,2.3870207708921
"578",13,"H3K9me3-human_GM12878_ENCFF001SUP",947103573,539366538,1.75595537778801
"579",13,"H3K9me3-human_lung_ENCFF813YSM",63108892,30399782,2.07596528159314
"580",13,"H4K20me1-human_GM12878_ENCFF001SUQ",1299941859,722115670,1.80018508530635
"581",13,"H4K20me1-human_lung_ENCFF272PZA",89024421,45394239,1.9611391877282
"582",13,"10_Rep1_iHMM_GM12878",51425276,23265451,2.21037090576925
"583",13,"11_Rep2_iHMM_GM12878",789898442,357828059,2.20748044244345
"584",13,"12_Het1_iHMM_GM12878",131508568,60241709,2.18301522621146
"585",13,"13_Het2_iHMM_GM12878",385394142,185278244,2.0800830884386
"586",13,"14_Low1_iHMM_GM12878",734375239,354762932,2.07004501530053
"587",13,"15_Low2_iHMM_GM12878",1114005582,570455209,1.95283619892408
"588",13,"16_Low3_iHMM_GM12878",85608793,48345445,1.77077267568847
"589",13,"17_Unmap_iHMM_GM12878",798361590,727072978,1.09804877110974
"590",13,"1_Pro_iHMM_GM12878",73014331,46202532,1.58031016568529
"591",13,"2_Enh1_iHMM_GM12878",145837651,69442161,2.10013123007505
"592",13,"3_Enh2_iHMM_GM12878",203417217,94941407,2.14255532362186
"593",13,"4_Egn1_iHMM_GM12878",107767681,55600976,1.93823362021559
"594",13,"5_Egn2_iHMM_GM12878",77147873,40028756,1.92731128092015
"595",13,"6_Egn3_iHMM_GM12878",400112864,180155677,2.220928425142
"596",13,"7_Egn4_iHMM_GM12878",189908473,97075950,1.95628755628969
"597",13,"8_Egn5_iHMM_GM12878",66615297,30156712,2.20897082546665
"598",13,"9_Egn6_iHMM_GM12878",280323204,150264385,1.86553323330741
"599",14,"All_reads",4404837700,3e+09,1.46827923333333
"600",14,"H2AFZ-human_GM12878_ENCFF001SUD",430580142,288036491,1.49488052887021
"601",14,"H2AFZ-human_lung_ENCFF888SIA",98536802,48896494,2.01521201090614
"602",14,"H3F3A-human_lung_ENCFF926ZHI",185777297,103936536,1.78741089658789
"603",14,"H3K27ac-human_GM12878_ENCFF001SUG",223759649,166141897,1.34679844783523
"604",14,"H3K27ac-human_lung_ENCFF371BKL",151715845,89536868,1.69445110588411
"605",14,"H3K27me3-human_GM12878_ENCFF001SUI",1701878211,1022773586,1.66398334323038
"606",14,"H3K27me3-human_lung_ENCFF468ZHH",255142649,146540119,1.74111124476431
"607",14,"H3K36me3-human_GM12878_ENCFF001SUJ",835036815,580278190,1.43902843393097
"608",14,"H3K36me3-human_GM12878_ENCFF001WYF",239972251,96031201,2.49889877978304
"609",14,"H3K36me3-human_GM12878_ENCFF001WYH",239576349,94013533,2.54831768741209
