"","n.trees","interaction.depth","shrinkage","n.minobsinnode","obs","rowIndex","pred","BLCA","BRCA","CESC","COAD_READ","HNSC","LIHC","LUAD","LUSC","OV","PRAD","STAD","THCA","Resample"
"427",150,3,0.1,10,"CESC",444,"BRCA",0.00121783316334371,0.786369304112144,0.00811532830910841,0.0162239554122695,0.112885318129485,0.00554866768001568,0.0436549377283015,0.00594576738386852,0.0017947617199916,0.000572708556977016,0.0103549195007414,0.00731649830375308,"Fold4.Rep1"
"428",150,3,0.1,10,"BRCA",447,"BRCA",0.000738101472364757,0.721317347027863,0.261298053776558,0.00381575202330653,0.00364141041373364,4.95844118651393e-05,0.00458481808975484,0.00108990609069806,0.00308241724111805,1.15191529867364e-05,0.000132335098601214,0.0002387552011496,"Fold4.Rep1"
"429",150,3,0.1,10,"COAD_READ",456,"HNSC",0.000379006843968583,0.0711098327372565,0.00126306299366327,0.072680434822504,0.832722270615929,0.00182464590712652,0.0117998010693173,0.00160185845155985,0.000570432832318542,0.000154294304342156,0.0030141670918902,0.00288019233012466,"Fold4.Rep1"
"430",150,3,0.1,10,"CESC",461,"CESC",0.00659813106184001,0.103337724535244,0.849125925246637,0.00097744964833195,0.000115525550725308,5.14858183142033e-06,0.0345699663803908,0.000596154734598067,0.00288479186096956,1.15991177483061e-06,0.00173234857162822,5.56739160289722e-05,"Fold4.Rep1"
"431",150,3,0.1,10,"HNSC",464,"LUAD",0.0043137971254828,1.67557753727203e-06,4.94211499743564e-06,5.42979418166871e-06,0.000119939475324487,7.26941936177083e-07,0.694108602570505,0.0853975052021393,0.00110646929297151,0.00102064454083743,0.213913668451172,6.59891291537574e-06,"Fold4.Rep1"
"432",150,3,0.1,10,"BRCA",471,"BRCA",0.000188418355329357,0.696754457435016,0.000376196697998381,0.000613203483508192,0.286267130282018,0.00715770306070704,0.00473114133411071,7.71458117442481e-05,0.00218786311426903,7.39486462082451e-06,0.00148497716630447,0.00015436839437357,"Fold4.Rep1"
"433",150,3,0.1,10,"BLCA",472,"BLCA",0.987541409188525,0.000399873457239624,3.34946986354773e-05,0.00024147237896109,0.000122373297935949,2.9066922516684e-05,0.000703308456828747,0.000295026276689164,1.1982420445665e-05,0.000301379747573635,0.00934998763995723,0.000970625514691567,"Fold4.Rep1"
"434",150,3,0.1,10,"BRCA",473,"BRCA",1.69363243587832e-07,0.998913183693083,0.000920404785519454,5.13661046697893e-06,3.58007033176131e-06,2.04162815509541e-06,2.56771974490963e-06,0.00014420192546955,9.24312056813871e-07,4.25386464498014e-08,5.55641840574645e-06,2.19093487628812e-06,"Fold4.Rep1"
"435",150,3,0.1,10,"BRCA",478,"BRCA",1.29094269050696e-05,0.998599046930866,0.00134604498627989,7.54709514793232e-06,1.23586091374494e-05,1.43683949175937e-06,2.42164091983643e-06,5.95763838342277e-07,6.34303763909167e-06,5.5333352755081e-07,9.82985067822279e-06,9.12485568957e-07,"Fold4.Rep1"
"436",150,3,0.1,10,"BRCA",479,"BRCA",5.75793894754576e-06,0.998667189253231,0.000342495279032848,0.000586374483797536,7.73828650466159e-05,1.57140356403991e-05,3.88870881788996e-05,0.000109639037191141,0.000142831922254558,1.82771640571557e-07,1.17431385984795e-05,1.80218644065306e-06,"Fold4.Rep1"
"437",150,3,0.1,10,"BRCA",480,"BRCA",1.52810413177964e-07,0.999954687175516,2.81442845428216e-06,1.92025367019919e-06,1.33531818519924e-05,5.32527849413426e-07,9.71148680363961e-06,1.2329460708026e-06,7.02711138463422e-06,5.84985891504182e-08,3.9014939033673e-06,4.60808549340281e-06,"Fold4.Rep1"
"438",150,3,0.1,10,"BRCA",482,"BRCA",3.75188436607703e-07,0.998758250256899,2.4055737206214e-06,4.89534265473193e-05,1.54326886402938e-05,0.000862430884653499,5.96960531617219e-05,2.30524792967574e-06,0.000241237447112728,2.31258823035931e-07,5.82351243098947e-06,2.85846164484477e-06,"Fold4.Rep1"
"439",150,3,0.1,10,"CESC",485,"BRCA",1.51279428763052e-06,0.999090787863837,0.000204821822357976,0.000501452168744904,7.19371127997428e-05,5.55868893375803e-05,2.31153443706649e-05,6.28844950017832e-06,2.52186899560198e-06,8.98830863803731e-07,2.53125848533251e-05,1.5764270052114e-05,"Fold4.Rep1"
"440",150,3,0.1,10,"CESC",486,"BRCA",6.88480282457731e-05,0.974033082223993,0.000663378404869593,0.00113043270129873,0.00150888041278299,8.11651444274942e-05,0.000414047335936793,0.00134911357225896,0.000260599320021175,9.13398246583848e-06,0.0202869736623303,0.000194345211369407,"Fold4.Rep1"
"441",150,3,0.1,10,"BLCA",490,"LUSC",0.00180331003758448,0.000130929862078582,1.41166139871228e-05,5.85508871289264e-05,0.00246518649118417,2.56333009214693e-05,0.000492545160836141,0.953009707775458,0.000941937003459664,1.7259491707804e-05,0.0406656277793576,0.000375195596296395,"Fold4.Rep1"
"442",150,3,0.1,10,"BLCA",495,"STAD",0.111423445020157,0.0521935436690484,0.000247167300887338,0.0289280453994218,0.00218623522171011,0.00134502916844569,0.00386698294354224,0.000988592159703801,0.0011348808932862,8.63494693311876e-05,0.78499490566392,0.0126048230905467,"Fold4.Rep1"
"443",150,3,0.1,10,"COAD_READ",497,"COAD_READ",1.38396307709321e-08,3.49414472069909e-05,6.56699026218053e-08,0.999726126529515,0.000126586686740701,9.90347552343108e-05,7.22631359980339e-07,1.23605775931911e-05,4.08144136108134e-08,4.69794585163286e-08,5.08542783722879e-08,9.21466553743361e-09,"Fold4.Rep1"
"444",150,3,0.1,10,"COAD_READ",501,"COAD_READ",1.97357592376164e-07,1.19166685830007e-06,4.43986143240617e-08,0.999983828089294,4.0192915644624e-07,1.52588385344046e-06,9.19274609974236e-07,1.47388830341228e-07,6.76121298730409e-06,1.31095430279151e-08,4.17912352072757e-06,7.90565139347154e-07,"Fold4.Rep1"
"445",150,3,0.1,10,"BLCA",507,"BLCA",0.999478313894189,1.90187611966016e-05,2.86033347812881e-07,2.0615190626643e-06,5.59167977161201e-06,1.16737319403009e-06,0.000200590876681664,2.2814931951575e-05,2.82293655275381e-06,6.33594010022737e-06,0.000243098000369393,1.78980535831468e-05,"Fold4.Rep1"
