"id" "n"
"173" "DO22839_tumor" 38953088415
"174" "DO22854_normal" 17405596420
"175" "DO22854_tumor" 37470418010
"176" "DO22860_normal" 17066669536
"177" "DO22860_tumor" 38677992004
"178" "DO22866_normal" 16363708759
"179" "DO22866_tumor" 41679998383
"180" "DO22875_normal" 18494236047
"181" "DO22875_tumor" 38857970725
"182" "DO22884_normal" 17103769516
"183" "DO22884_tumor" 36900300317
"184" "DO22887_normal" 19244970784
"185" "DO22887_tumor" 41333132992
"186" "DO22890_normal" 17555925823
"187" "DO22890_tumor" 40401111372
"188" "DO22896_normal" 16991015794
"189" "DO22896_tumor" 35963718607
"190" "DO22914_normal" 18764272361
"191" "DO22914_tumor" 40074656207
"192" "DO22929_normal" 17988162071
"193" "DO22929_tumor" 31351767595
"194" "DO22932_normal" 19212426387
"195" "DO22932_tumor" 35886309826
"196" "DO22935_normal" 19109342935
"197" "DO22935_tumor" 38966616405
"198" "DO22953_normal" 17701707402
"199" "DO22953_tumor" 34925587994
"200" "DO22956_normal" 19601891346
"201" "DO22956_tumor" 34357742930
"202" "DO22959_normal" 19433798542
"203" "DO22959_tumor" 38990245835
"204" "DO22970_normal" 18313138481
"205" "DO22970_tumor" 39862868763
"206" "DO22978_normal" 20539658265
"207" "DO22978_tumor" 39692317547
"208" "DO22986_normal" 17704330737
"209" "DO22986_tumor" 37180465568
"210" "DO22994_normal" 17181635216
"211" "DO22994_tumor" 38306414119
"212" "DO22998_normal" 18102202062
"213" "DO22998_tumor" 35927200083
"214" "DO23018_normal" 17155333931
"215" "DO23018_tumor" 36218744496
"216" "DO23023_normal" 18047584876
"217" "DO23023_tumor" 40183026619
"218" "DO23028_normal" 17392845370
"219" "DO23028_tumor" 31950286426
"220" "DO23048_normal" 19302455676
"221" "DO23048_tumor" 38783976438
"222" "DO23073_normal" 20175946574
"223" "DO23073_tumor" 35732188879
"224" "DO2323_normal" 18860873276
"225" "DO2323_tumor" 33634677844
"226" "DO2341_normal" 19225267880
"227" "DO2341_tumor" 30647551554
"228" "DO23582_normal" 17890661773
"229" "DO23582_tumor" 17815488839
"230" "DO23584_normal" 23966645978
"231" "DO23584_tumor" 25790260542
"232" "DO23608_normal" 28531926360
"233" "DO23608_tumor" 17968417845
"234" "DO23610_normal" 25188756169
"235" "DO23610_tumor" 22005183060
"236" "DO23648_normal" 25298725279
"237" "DO23648_tumor" 21200859913
"238" "DO23651_normal" 18207112269
"239" "DO23651_tumor" 21941332704
"240" "DO23687_normal" 23110857002
"241" "DO23687_tumor" 18122092240
"242" "DO23702_normal" 27900910413
"243" "DO23702_tumor" 24204168478
"244" "DO23717_normal" 22043782203
"245" "DO23717_tumor" 20741804433
"246" "DO23720_normal" 20792754130
"247" "DO23720_tumor" 16916643438
"248" "DO23735_normal" 22532893145
"249" "DO23735_tumor" 30474715553
"250" "DO23744_normal" 18504214538
"251" "DO23744_tumor" 19568785878
"252" "DO23786_normal" 19467180536
"253" "DO23786_tumor" 18512914293
"254" "DO23838_normal" 19204512328
"255" "DO23838_tumor" 22910544791
"256" "DO23942_normal" 18562376587
"257" "DO23942_tumor" 18180294849
"258" "DO24130_normal" 23032687719
"259" "DO24130_tumor" 22110639245
"260" "DO24307_normal" 23015659095
"261" "DO24307_tumor" 18120855620
"262" "DO24467_normal" 19405915906
"263" "DO24467_tumor" 19944720268
"264" "DO24497_normal" 17878412004
"265" "DO24497_tumor" 25696608428
"266" "DO2455_normal" 23445719838
"267" "DO2455_tumor" 30346246982
"268" "DO24646_normal" 22601706370
"269" "DO24646_tumor" 18843388597
"270" "DO24675_normal" 19206655235
"271" "DO24675_tumor" 19813858116
"272" "DO24729_normal" 22392210352
"273" "DO24729_tumor" 23813431128
"274" "DO24860_normal" 19900024342
"275" "DO24860_tumor" 21736546593
"276" "DO25010_normal" 20807619656
"277" "DO25010_tumor" 25216976702
"278" "DO2503_normal" 20115576499
"279" "DO2503_tumor" 33893374480
"280" "DO25040_normal" 21103052473
"281" "DO25040_tumor" 35617107366
"282" "DO25068_normal" 21181883511
"283" "DO25068_tumor" 21887655305
"284" "DO2509_normal" 17066174610
"285" "DO2509_tumor" 29694311069
"286" "DO25104_normal" 18941140782
"287" "DO25104_tumor" 22769007687
"288" "DO25189_normal" 25475139863
"289" "DO25189_tumor" 25659837991
"290" "DO25218_normal" 18484686340
"291" "DO25218_tumor" 36125354370
"292" "DO25320_normal" 17301414188
"293" "DO25320_tumor" 18266548812
"294" "DO2539_normal" 20200572149
"295" "DO2539_tumor" 35519012239
"296" "DO25444_normal" 19907567696
"297" "DO25444_tumor" 20316013381
"298" "DO2551_normal" 18738076083
"299" "DO2551_tumor" 31614914266
"300" "DO25622_normal" 37736861039
"301" "DO25622_tumor" 35450736442
"302" "DO25737_normal" 20113830891
"303" "DO25737_tumor" 22619014552
"304" "DO25797_normal" 17362079526
"305" "DO25797_tumor" 23335051807
"306" "DO25847_normal" 32615193789
"307" "DO25847_tumor" 24616493828
"308" "DO25887_normal" 21395808828
"309" "DO25887_tumor" 33480762246
"310" "DO25927_normal" 27132838345
"311" "DO25927_tumor" 30992223012
"312" "DO2593_normal" 18272123205
"313" "DO2593_tumor" 33660903312
"314" "DO25985_normal" 20999542367
"315" "DO25985_tumor" 19867859832
"316" "DO26062_normal" 33720430253
"317" "DO26062_tumor" 34544542385
"318" "DO26230_normal" 20711691581
"319" "DO26230_tumor" 18768711309
"320" "DO26280_normal" 18109252557
"321" "DO26280_tumor" 35242139365
"322" "DO2629_normal" 19908172205
"323" "DO2629_tumor" 33399764539
"324" "DO26354_normal" 18626864683
"325" "DO26354_tumor" 44783793621
"326" "DO26427_normal" 20195095757
"327" "DO26427_tumor" 40661604068
"328" "DO26434_normal" 18489217981
"329" "DO26434_tumor" 30175240565
"330" "DO26445_normal" 19370631888
"331" "DO26445_tumor" 39277350607
"332" "DO26459_normal" 18150830525
"333" "DO26459_tumor" 48880335687
"334" "DO26461_normal" 23873760345
"335" "DO26461_tumor" 24767971079
"336" "DO26463_normal" 25849391823
"337" "DO26463_tumor" 29867634942
"338" "DO26469_normal" 18902662432
"339" "DO26469_tumor" 34477570001
"340" "DO26475_normal" 19127765992
"341" "DO26475_tumor" 42505915795
"342" "DO26476_normal" 29575602026
"343" "DO26476_tumor" 26623187106
"344" "DO2647_normal" 14595338285
"345" "DO2647_tumor" 24355823838
"346" "DO26492_normal" 18242374490
"347" "DO26492_tumor" 40198277412
"348" "DO26508_normal" 25329174796
"349" "DO26508_tumor" 28870125953
"350" "DO26512_normal" 18212044847
"351" "DO26512_tumor" 40714650101
"352" "DO26540_normal" 27508162939
"353" "DO26540_tumor" 34847078134
"354" "DO26553_normal" 22354291739
"355" "DO26553_tumor" 51165429230
"356" "DO26563_normal" 18447987708
"357" "DO26563_tumor" 25384265788
"358" "DO26572_normal" 17785749465
"359" "DO26572_tumor" 37220331782
"360" "DO26596_normal" 26874149396
"361" "DO26596_tumor" 26898510435
"362" "DO26599_normal" 20831641196
"363" "DO26599_tumor" 29417353613
"364" "DO26653_normal" 25663804805
"365" "DO26653_tumor" 25597766863
"366" "DO26692_normal" 25815966655
"367" "DO26692_tumor" 30380495109
"368" "DO26710_normal" 18796718570
"369" "DO26710_tumor" 32592233795
"370" "DO26719_normal" 34883136355
"371" "DO26719_tumor" 36202722576
"372" "DO26769_normal" 34975670567
"373" "DO26769_tumor" 46572038548
"374" "DO26798_normal" 24877425788
"375" "DO26798_tumor" 25481964690
"376" "DO26806_normal" 19489938166
"377" "DO26806_tumor" 30686278671
"378" "DO26894_normal" 24182456597
"379" "DO26894_tumor" 30050627707
"380" "DO26934_normal" 36630127315
"381" "DO26934_tumor" 38826320616
"382" "DO2694_normal" 19463568996
"383" "DO2694_tumor" 31705729672
"384" "DO26957_normal" 35690740176
"385" "DO26957_tumor" 30239872013
"386" "DO26971_normal" 22550210023
"387" "DO26971_tumor" 38764413183
"388" "DO26976_normal" 17654794675
"389" "DO26976_tumor" 37359932525
"390" "DO26987_normal" 29622364787
"391" "DO26987_tumor" 26127210204
"392" "DO26993_normal" 22345797949
"393" "DO26993_tumor" 36778849457
"394" "DO27025_normal" 27720512355
"395" "DO27025_tumor" 36079178710
"396" "DO27067_normal" 26913067396
"397" "DO27067_tumor" 36873825880
"398" "DO2706_normal" 17519941051
"399" "DO2706_tumor" 32311671834
"400" "DO27081_normal" 34437938128
"401" "DO27081_tumor" 20844608603
"402" "DO27104_normal" 24401282273
"403" "DO27104_tumor" 37971468513
"404" "DO27120_normal" 17825634073
"405" "DO27120_tumor" 44751035109
"406" "DO27128_normal" 25626214659
"407" "DO27128_tumor" 22558771745
"408" "DO2712_normal" 20612400457
"409" "DO2712_tumor" 34148111545
"410" "DO2719_normal" 17903426921
"411" "DO2719_tumor" 31317888130
"412" "DO27208_normal" 17691321795
"413" "DO27208_tumor" 43249468706
"414" "DO27279_normal" 19350752044
"415" "DO27279_tumor" 44623718186
"416" "DO27318_normal" 20483849610
"417" "DO27318_tumor" 37905669431
"418" "DO27326_normal" 27353153413
"419" "DO27326_tumor" 33814613329
"420" "DO27334_normal" 19788377337
"421" "DO27334_tumor" 38629583459
"422" "DO27453_normal" 15605050889
"423" "DO27453_tumor" 33902670182
"424" "DO27484_normal" 42127461172
"425" "DO27484_tumor" 49353183264
"426" "DO27588_normal" 16646591337
"427" "DO27588_tumor" 30047082991
"428" "DO27636_normal" 26749586721
"429" "DO27636_tumor" 33460703433
"430" "DO27747_normal" 24821807162
"431" "DO27747_tumor" 25071254293
"432" "DO2783_normal" 18325349742
"433" "DO2783_tumor" 30968882731
"434" "DO27978_normal" 23971800571
"435" "DO27978_tumor" 37739058180
"436" "DO28004_normal" 21492717812
"437" "DO28004_tumor" 37985429333
"438" "DO28024_normal" 18496118859
"439" "DO28024_tumor" 39601965204
"440" "DO28053_normal" 22734094764
"441" "DO28053_tumor" 37077482434
"442" "DO28089_normal" 17096869804
"443" "DO28089_tumor" 14842078760
"444" "DO28093_normal" 14330881431
"445" "DO28093_tumor" 28185226929
"446" "DO28119_normal" 13740023362
"447" "DO28119_tumor" 29407932892
"448" "DO28233_normal" 14032402347
"449" "DO28233_tumor" 28892229654
"450" "DO28273_normal" 12731001363
"451" "DO28273_tumor" 17005734402
"452" "DO28289_normal" 21156156426
"453" "DO28289_tumor" 37026565084
"454" "DO28412_normal" 20428116535
"455" "DO28412_tumor" 38199524595
"456" "DO2842_normal" 18485464424
"457" "DO2842_tumor" 31223605089
"458" "DO28521_normal" 21233977320
"459" "DO28521_tumor" 35835474128
"460" "DO28763_normal" 13993977212
"461" "DO28763_tumor" 29130269661
"462" "DO28823_normal" 20689751516
"463" "DO28823_tumor" 37316120761
"464" "DO28873_normal" 21650380533
"465" "DO28873_tumor" 34323121463
"466" "DO28952_normal" 21674010322
"467" "DO28952_tumor" 39164655776
"468" "DO28962_normal" 21788621746
"469" "DO28962_tumor" 35499355420
"470" "DO2897_normal" 17966334775
"471" "DO2897_tumor" 18043522807
"472" "DO29146_normal" 20106167651
"473" "DO29146_tumor" 30919449893
"474" "DO29308_normal" 15107040496
"475" "DO29308_tumor" 28340869256
"476" "DO29398_normal" 15852180528
"477" "DO29398_tumor" 30717785824
"478" "DO29760_normal" 25506735135
"479" "DO29760_tumor" 40897167117
"480" "DO29820_normal" 13557513407
"481" "DO29820_tumor" 29509732174
"482" "DO29850_normal" 20613520398
"483" "DO29850_tumor" 39403991880
"484" "DO29940_normal" 13844507704
"485" "DO29940_tumor" 29120776613
"486" "DO2995_normal" 16393269198
"487" "DO2995_tumor" 24441261099
"488" "DO29970_normal" 14474506388
"489" "DO29970_tumor" 27904553186
"490" "DO29980_normal" 13376439523
"491" "DO29980_tumor" 15912590695
"492" "DO30060_normal" 14421171612
"493" "DO30060_tumor" 29024133205
"494" "DO30090_normal" 14403056917
"495" "DO30090_tumor" 27215908235
"496" "DO30220_normal" 24261751769
"497" "DO30220_tumor" 35760645281
"498" "DO30340_normal" 13849296183
"499" "DO30340_tumor" 26281565963
"500" "DO3037_normal" 20947297286
"501" "DO3037_tumor" 35719535541
"502" "DO30550_normal" 15229497221
"503" "DO30550_tumor" 29049240083
"504" "DO30650_normal" 23874808162
"505" "DO30650_tumor" 24602213797
"506" "DO30750_normal" 25357676350
"507" "DO30750_tumor" 40238136841
"508" "DO30970_normal" 14973416821
"509" "DO30970_tumor" 28807004994
"510" "DO3110_normal" 17257501384
"511" "DO3110_tumor" 30820497503
"512" "DO31150_normal" 21612777042
"513" "DO31150_tumor" 40836555232
"514" "DO3140_normal" 19483023346
"515" "DO3140_tumor" 33807162859
"516" "DO31420_normal" 13456220525
"517" "DO31420_tumor" 29390007299
"518" "DO3152_normal" 17226997326
"519" "DO3152_tumor" 30391453908
"520" "DO31551_normal" 15237125634
"521" "DO31551_tumor" 29463181949
"522" "DO3158_normal" 18215112990
"523" "DO3158_tumor" 29946178572
"524" "DO31729_normal" 19934190498
"525" "DO31729_tumor" 37775360321
"526" "DO31769_normal" 14933682313
"527" "DO31769_tumor" 28112303670
"528" "DO3182_normal" 21049107302
"529" "DO3182_tumor" 33431424293
"530" "DO31869_normal" 22933480312
"531" "DO31869_tumor" 35033644313
"532" "DO3188_normal" 17783952066
"533" "DO3188_tumor" 28888122538
"534" "DO32237_normal" 14390918907
"535" "DO32237_tumor" 27925027740
"536" "DO32391_normal" 15079013773
"537" "DO32391_tumor" 28304871493
"538" "DO32420_normal" 14677863730
"539" "DO32420_tumor" 28150601934
"540" "DO32596_normal" 20756064896
"541" "DO32596_tumor" 34101889603
"542" "DO32646_normal" 21051968175
"543" "DO32646_tumor" 20576479342
"544" "DO3352_normal" 15959409215
"545" "DO3352_tumor" 29008973100
"546" "DO3412_normal" 18785705869
"547" "DO3412_tumor" 31386993767
"548" "DO3458_normal" 20540308515
"549" "DO3458_tumor" 33775746431
"550" "DO3482_normal" 18261808547
"551" "DO3482_tumor" 22601606511
"552" "DO3500_normal" 18653919888
"553" "DO3500_tumor" 35142127225
"554" "DO3614_normal" 18632976236
"555" "DO3614_tumor" 28725625367
"556" "DO36226_normal" 18514498557
"557" "DO36226_tumor" 33246530847
"558" "DO36239_normal" 16763544067
"559" "DO36239_tumor" 31287804201
"560" "DO36248_normal" 18717541082
"561" "DO36248_tumor" 28206030598
"562" "DO36253_normal" 20080107260
"563" "DO36253_tumor" 38402626875
"564" "DO36254_normal" 17148993482
"565" "DO36254_tumor" 33520255726
"566" "DO36262_normal" 16878230003
"567" "DO36262_tumor" 27886053919
"568" "DO36265_normal" 17879654594
"569" "DO36265_tumor" 27137179385
"570" "DO36273_normal" 17978393390
"571" "DO36273_tumor" 29250504357
"572" "DO36283_normal" 18675015651
"573" "DO36283_tumor" 31276718506
"574" "DO36285_normal" 19196487734
"575" "DO36285_tumor" 29773331239
"576" "DO36335_normal" 16622705680
"577" "DO36335_tumor" 28061332711
"578" "DO36345_normal" 21715654897
"579" "DO36345_tumor" 30642565699
"580" "DO36352_normal" 19915038829
"581" "DO36352_tumor" 29025951080
"582" "DO36356_normal" 19144933720
"583" "DO36356_tumor" 31330196846
"584" "DO36359_normal" 19917306323
"585" "DO36359_tumor" 34403737303
"586" "DO36360_normal" 17726981907
"587" "DO36360_tumor" 32332688519
"588" "DO36361_normal" 20467893607
"589" "DO36361_tumor" 31590135928
"590" "DO36372_normal" 20069881145
"591" "DO36372_tumor" 30548329831
"592" "DO36386_normal" 17886958354
"593" "DO36386_tumor" 24550244585
"594" "DO36431_normal" 16124494269
"595" "DO36431_tumor" 27381045706
"596" "DO36459_normal" 16029344406
"597" "DO36459_tumor" 23331000502
"598" "DO36556_normal" 19700031036
"599" "DO36556_tumor" 38859144834
"600" "DO36572_normal" 16205492473
"601" "DO36572_tumor" 27781938787
"602" "DO36619_normal" 17304130972
"603" "DO36619_tumor" 16716265477
"604" "DO3662_normal" 16824181460
"605" "DO3662_tumor" 28637138312
